City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
229112,Moroto,100,UG,1603764546,67,2.53,34.67,68.47,4.61
2037485,Erenhot,0,CN,1603764548,60,43.65,111.98,36.59,11.5
3430443,Necochea,0,AR,1603764549,88,-38.55,-58.74,51.01,7.0
744537,Karacabey,0,TR,1603764550,100,40.22,28.4,50.0,3.36
7372400,Weihe,100,CN,1603764551,76,33.0,105.32,47.23,3.76
94787,Kirkuk,0,IQ,1603764552,33,35.47,44.39,59.74,4.56
3894426,Coyhaique,0,CL,1603764553,52,-45.58,-72.07,44.6,3.36
2178753,Kirakira,100,SB,1603764554,76,-10.45,161.92,84.09,6.6
3465644,Conselheiro Lafaiete,0,BR,1603764377,95,-20.66,-43.79,61.27,2.82
5861897,Fairbanks,90,US,1603764410,79,64.84,-147.72,28.4,8.05
2448083,Agadez,0,NE,1603764557,24,19.75,10.25,66.83,5.88
1641977,Kalianget,99,ID,1603764558,63,-7.05,113.93,85.42,1.57
1487839,Vakhrushevo,90,RU,1603764559,92,55.23,61.72,28.4,31.32
3385670,Urucará,19,BR,1603764560,69,-2.54,-57.76,81.03,2.15
3361934,Saldanha,4,ZA,1603764562,87,-33.01,17.94,60.8,3.36
1295765,Sittwe,7,MM,1603764563,84,20.15,92.9,80.28,5.26
1734098,Keningau,40,MY,1603764565,94,5.34,116.16,75.2,11.41
614934,Didi Lilo,0,GE,1603764566,93,41.74,44.96,48.2,3.36
1493162,Salym,100,RU,1603764567,96,60.06,71.48,26.8,14.23
2126199,Cherskiy,82,RU,1603764544,94,68.75,161.3,7.3,7.56
614613,Gali,0,GE,1603764569,29,42.63,41.74,64.69,5.35
1274342,Chhātāpur,0,IN,1603764570,77,26.22,87.02,74.64,2.17
1488931,Turinskaya Sloboda,100,RU,1603764572,96,57.62,64.39,29.19,21.99
3414079,Olafsvik,100,IS,1603764573,71,64.89,-23.71,40.35,20.07
5983626,Invermere,76,CA,1603764574,74,50.52,-116.04,21.99,1.99
290030,Doha,0,QA,1603764421,69,25.29,51.53,78.8,4.7
4726206,San Antonio,90,US,1603764541,81,29.42,-98.49,50.0,21.92
5924351,Clyde River,0,CA,1603764577,86,70.47,-68.59,9.72,3.94
1337610,Thinadhoo,75,MV,1603764579,67,0.53,72.93,83.07,7.18
4032369,Pangai,75,TO,1603764580,94,-19.8,-174.35,73.4,8.05
583345,Aleksandrov Gay,0,RU,1603764582,84,50.15,48.57,35.33,8.7
5856516,‘Āhuimanu,75,US,1603764583,70,21.44,-157.84,84.2,4.7
4033077,Vaitape,100,PF,1603764584,74,-16.52,-151.75,81.5,17.49
2027316,Ayan,1,RU,1603764585,67,56.45,138.17,35.62,2.98
2629833,Husavik,90,IS,1603764561,59,66.04,-17.34,35.6,5.82
372884,Kapoeta,75,SS,1603764588,69,4.77,33.59,75.96,4.85
110690,Faya,0,SA,1603764589,24,18.39,42.45,55.4,5.82
3867427,Mayor Pablo Lagerenza,46,PY,1603764590,66,-19.93,-60.77,74.1,4.83
2025630,Chara,17,RU,1603764591,89,56.91,118.26,17.91,4.88
108410,Riyadh,0,SA,1603764402,38,24.69,46.72,60.8,2.24
2514216,Manacor,20,ES,1603764594,48,39.57,3.21,60.8,5.82
3939168,Huarmey,65,PE,1603764595,81,-10.07,-78.15,64.29,8.05
